"caseid"	"degree"	"satfin"
625	"Bachelor"	"More Or Less"
626	"Junior College"	"More Or Less"
627	"High School"	"Not At All Sat"
628	"Lt High School"	"Satisfied"
629	"Lt High School"	"More Or Less"
630	"High School"	"More Or Less"
631	"Bachelor"	"More Or Less"
632	"Lt High School"	"Not At All Sat"
633	"Lt High School"	"More Or Less"
634	"High School"	"Not At All Sat"
635	"High School"	"More Or Less"
636	"Junior College"	"More Or Less"
637	"High School"	"Not At All Sat"
638	"Bachelor"	"Satisfied"
639	"High School"	"Not At All Sat"
640	"High School"	"More Or Less"
641	"High School"	"More Or Less"
642	"Lt High School"	"Satisfied"
643	"Lt High School"	"Not At All Sat"
644	"High School"	"More Or Less"
645	"Lt High School"	"More Or Less"
646	"High School"	"Not At All Sat"
647	"Lt High School"	"Satisfied"
648	"High School"	"Satisfied"
649	"Lt High School"	"More Or Less"
650	"Lt High School"	"Not At All Sat"
651	"Lt High School"	"Not At All Sat"
652	"Lt High School"	"Satisfied"
653	"Lt High School"	"Satisfied"
654	"High School"	"Satisfied"
655	"Lt High School"	"Satisfied"
656	"Lt High School"	"Satisfied"
657	"Graduate"	"More Or Less"
658	"High School"	"Satisfied"
659	"High School"	"More Or Less"
660	"Lt High School"	"More Or Less"
661	"Lt High School"	"More Or Less"
662	"Lt High School"	"Satisfied"
663	"Lt High School"	"Not At All Sat"
664	"High School"	"Satisfied"
665	"Bachelor"	"Not At All Sat"
666	"High School"	"Not At All Sat"
667	"High School"	"Not At All Sat"
668	"High School"	"Satisfied"
669	"High School"	"More Or Less"
670	"High School"	"More Or Less"
671	"Lt High School"	"More Or Less"
673	"High School"	"Not At All Sat"
677	"High School"	"Satisfied"
678	"Lt High School"	"Not At All Sat"
679	"Bachelor"	"More Or Less"
681	"Graduate"	"Satisfied"
682	"High School"	"Satisfied"
683	"Lt High School"	"Satisfied"
685	"Bachelor"	"Satisfied"
686	"Graduate"	"More Or Less"
687	"Bachelor"	"More Or Less"
688	"Bachelor"	"Satisfied"
689	"High School"	"Satisfied"
690	"Lt High School"	"Not At All Sat"
691	"High School"	"More Or Less"
692	"Lt High School"	"Not At All Sat"
693	"Lt High School"	"More Or Less"
694	"High School"	"Not At All Sat"
695	"Lt High School"	"Not At All Sat"
696	"Lt High School"	"Not At All Sat"
697	"Lt High School"	"Not At All Sat"
698	"High School"	"Not At All Sat"
700	"High School"	"Not At All Sat"
701	"Lt High School"	"More Or Less"
702	"High School"	"More Or Less"
703	"Graduate"	"More Or Less"
704	"Lt High School"	"More Or Less"
705	"High School"	"More Or Less"
706	"High School"	"Satisfied"
707	"High School"	"Satisfied"
708	"High School"	"More Or Less"
709	"Bachelor"	"Not At All Sat"
710	"High School"	"Not At All Sat"
711	"Lt High School"	"Satisfied"
712	"High School"	"More Or Less"
713	"High School"	"More Or Less"
714	"High School"	"Satisfied"
715	"Bachelor"	"More Or Less"
716	"High School"	"More Or Less"
717	"Lt High School"	"Satisfied"
718	"Bachelor"	"More Or Less"
719	"Bachelor"	"Satisfied"
720	"Lt High School"	"Not At All Sat"
721	"High School"	"Satisfied"
722	"Lt High School"	"More Or Less"
723	"Lt High School"	"More Or Less"
724	"High School"	"Satisfied"
725	"Lt High School"	"More Or Less"
726	"Lt High School"	"More Or Less"
727	"Lt High School"	"More Or Less"
728	"Lt High School"	"Satisfied"
729	"Lt High School"	"Satisfied"
730	"High School"	"Satisfied"
731	"High School"	"More Or Less"
732	"Bachelor"	"Satisfied"
733	"High School"	"Satisfied"
734	"High School"	"Not At All Sat"
735	"Bachelor"	"Satisfied"
736	"Bachelor"	"More Or Less"
737	"Lt High School"	"More Or Less"
738	"Lt High School"	"More Or Less"
739	"High School"	"More Or Less"
740	"High School"	"Not At All Sat"
